Issue.ID,Number.of.issue.solving.commits.found,Total.additions.made.to.fix.the.issue,Total.deletions.made.to.fix.the.issue,Total.changes.made.to.fix.the.issue,Commits..commit.hashcode..date.of.commit..commit.s.author..number.of.additions.made.by.the.commit..number.of.deletions.made.by.the.commit..number.of.total.changes.made.by.the.commit..approach.used.to.find.the.commit.
20529,1,4,1,5,"(3feb40d602490a99d2794b2b5d5fc35a2657b919, 2019-06-06 13:38:44 -0700, Thomas Viehmann, 4, 1, 5, LINK)"
20535,2,4,4,8,"(eb51131fb4be155005506a76a4d506e5dc1e7741, 2019-07-24 11:06:45 -0700, Jesse Hellemn, 2, 2, 4, LINK), (7203612f852e57b3f1667a614444bbb24beec7fb, 2019-07-24 08:06:31 -0700, Edward Yang, 2, 2, 4, LINK)"
2054,1,2,1,3,"(07ac00d21ab07803fd2ebdb1cd4e86a1d7c98a48, 2019-05-30 17:29:53 -0700, Lu Fang, 2, 1, 3, LINK)"
20548,1,1,1,2,"(4e0d098ace3492847d3d2a426441eac1de4c1977, 2019-05-22 11:23:46 -0700, Michael Kösel, 1, 1, 2, LINK)"
2055,2,11,7,18,"(ec547ce640581846d0c5afdc334beaec5da9e745, 2018-02-26 11:04:04 -0800, anderspapitto, 4, 4, 8, LINK), (f98c38497398ac2adb43e8d04b491d6f2e126fdf, 2017-07-13 21:56:12 +0800, lynic, 7, 3, 10, LINK)"
20568,1,3,1,4,"(3bc0bd953482e079827a96a9f6c5509c43b7c7c9, 2019-05-17 07:14:53 -0700, peter, 3, 1, 4, LINK)"
20579,1,1,1,2,"(99b3f5cd705018c96b5559daa89aa71e66fc7e8a, 2019-05-23 10:13:07 -0700, Federico Baldassarre, 1, 1, 2, LINK)"
2059,1,1737,0,1737,"(5e0a3e99bc8259a8d03096ca791446764e580ece, 2018-02-27 12:27:41 -0800, Di Yu, 1737, 0, 1737, LINK)"
2060,1,6,1,7,"(d6ee58494f816b9784a974c9d5a5c95376a3a55b, 2019-09-24 05:36:12 -0700, Lu Fang, 6, 1, 7, LINK)"
2062,1,1,1,2,"(0955e791d35adf783d660cd203fe81e162f306d6, 2018-02-27 15:04:01 -0800, Yinghai Lu, 1, 1, 2, LINK)"
20630,1,1,1,2,"(4c5b1e3460294a57141ebeafa77212a17a25eda5, 2019-05-26 12:57:26 -0700, Shen Li, 1, 1, 2, LINK)"
20635,1,15,5,20,"(8fcd80af200cea42759ef4fc8b1e7ee704eaa673, 2019-05-29 14:26:16 -0700, peter, 15, 5, 20, LINK)"
20642,1,1,1,2,"(5f83c5d8349fb0c3645146efe7ad4b4f20fca457, 2019-05-23 12:00:11 -0700, Jonas1312, 1, 1, 2, LINK)"
20651,1,46,10,56,"(8acaa286b76adda792dc59948efc5e8621d8447e, 2019-05-20 07:11:12 -0700, Shen Li, 46, 10, 56, LINK)"
20743,1,45,5,50,"(34536e207ae48564fb559b7801d69b3ada4af6be, 2019-06-19 00:06:08 -0700, hexiaoting, 45, 5, 50, LINK)"
20755,1,13,0,13,"(7a0c6d528a12037495847e83bdcd09f7acc1e736, 2019-05-21 14:47:41 -0700, Sam Gross, 13, 0, 13, LINK)"
20757,1,33,12,45,"(a16708a1ae85542794437b0ba5028359fdf3b156, 2019-05-23 09:39:09 -0700, Ailing Zhang, 33, 12, 45, LINK)"
2076,1,2,1,3,"(c2a08d339b373cf3df70283d0c479cecfa3104b3, 2019-06-11 16:50:07 -0700, Lu Fang, 2, 1, 3, LINK)"
20781,1,33,12,45,"(a16708a1ae85542794437b0ba5028359fdf3b156, 2019-05-23 09:39:09 -0700, Ailing Zhang, 33, 12, 45, LINK)"
20785,2,2347,1352,3699,"(74b65c32be68b15dc7c9e8bb62459efbfbde33d8, 2019-08-21 21:16:12 -0700, bnehoran, 1270, 684, 1954, LINK), (87217cfd2a16171ffed5fa6ead66afc9878534f4, 2019-08-19 09:44:09 -0700, Barak Nehoran, 1077, 668, 1745, LINK)"
20823,1,34,0,34,"(c68119387d7b1b24c796a041bdcfa1f6b627e5fa, 2019-06-25 10:41:16 -0700, Ailing, 34, 0, 34, LINK)"
2083,1,1,1,2,"(d4119f8fcbde15569b8f2993973439f2961ea22a, 2019-06-20 15:45:25 -0700, Lu Fang, 1, 1, 2, LINK)"
2085,1,1,1,2,"(d4119f8fcbde15569b8f2993973439f2961ea22a, 2019-06-20 15:45:25 -0700, Lu Fang, 1, 1, 2, LINK)"
20862,1,80,2,82,"(029c8e7754625c4652a169888ea2c5806e043520, 2019-08-01 09:43:57 -0700, Elias Ellison, 80, 2, 82, LINK)"
2088,1,1,1,2,"(d4119f8fcbde15569b8f2993973439f2961ea22a, 2019-06-20 15:45:25 -0700, Lu Fang, 1, 1, 2, LINK)"
20888,1,25,10,35,"(b93bdf6989ee96502512eb298dcfc267974dcc12, 2019-05-24 16:16:54 -0700, Sam Gross, 25, 10, 35, LINK)"
20895,1,9,1,10,"(ebc8d7170e352a0f403ed8e175094fde28ef5563, 2019-05-27 12:06:46 -0700, xiaobing.zhang, 9, 1, 10, LINK)"
2091,1,1,1,2,"(544aeaec62deda7279aea5d200a60f4a2379789f, 2018-02-28 22:44:13 -0800, Yinghai Lu, 1, 1, 2, LINK)"
20926,1,7,11,18,"(430d1a2761ab85ce8e8a3b6f81f7106481a4973a, 2019-05-24 15:46:33 -0700, Sam Gross, 7, 11, 18, LINK)"
2093,1,1,1,2,"(c96338ee2c18ed30e6162cde9ca33c36991ded72, 2018-02-28 23:59:01 -0800, Paul Jesse Hellemn, 1, 1, 2, LINK)"
20939,4,647,189,836,"(7a370dbb41ba14a5fc95c7a3d3fecd83489edad9, 2019-07-16 12:50:02 -0700, davidriazati, 69, 94, 163, LINK), (2f4824b2fb199e77424aabfddf42b73ffb1450ff, 2019-05-31 14:20:57 -0700, davidriazati, 275, 45, 320, LINK), (e13b483f58bf06bb368392710bb8b44e606a02c2, 2019-05-31 10:28:39 -0700, davidriazati, 21, 4, 25, LINK), (8d3388aef2b6b109e45d0c58da720601aa1e94cd, 2019-05-29 18:46:40 -0700, davidriazati, 282, 46, 328, LINK)"
2094,1,120,36,156,"(56096c2311d0f8477304ebeb57aee336e80d54c6, 2018-03-01 12:01:44 -0800, Yangqing Jia, 120, 36, 156, LINK)"
2095,1,1,0,1,"(72aa83d70237fc286f81070001b4535a2f20931e, 2018-03-01 00:09:33 -0800, bddppq, 1, 0, 1, LINK)"
20978,1,18,15,33,"(736bf7b46c0458875af2eee36072794f054c5bc4, 2019-05-29 13:48:34 -0700, davidriazati, 18, 15, 33, LINK)"
2098,1,1,1,2,"(9e18234109778fc5ab6f03fc00164d3468102e01, 2019-06-28 22:11:01 -0700, Lu Fang, 1, 1, 2, LINK)"
20988,1,1849,145,1994,"(44ce0b8883abb20d8ae71c3ab5f21b8bbadc6902, 2020-12-21 11:51:52 -0800, Alexander, 1849, 145, 1994, LINK)"
21,1,1,1,2,"(8a822d48f50694010c347add0deebfbe76a3be01, 2017-04-05 12:55:23 -0700, Pieter Noordhuis, 1, 1, 2, LINK)"
21026,1,54,23,77,"(51d0da2802c92d2e66826099729a43303218abc8, 2019-06-06 13:41:19 -0700, Mingzhe Li, 54, 23, 77, LINK)"
2104,2,5,1,6,"(d4119f8fcbde15569b8f2993973439f2961ea22a, 2019-06-20 15:45:25 -0700, Lu Fang, 1, 1, 2, LINK), (ec3c299baf66c22e721e364d2d7ca9823503e8e3, 2018-03-02 11:36:08 -0800, Paul Jesse Hellemn, 4, 0, 4, LINK)"
21044,1,12,0,12,"(b7d90332eabd2a2ddbe328e8ac60e09ad68e3b66, 2019-07-24 14:32:00 -0700, Ailing Zhang, 12, 0, 12, LINK)"
21076,1,119,47,166,"(af638ad5d7c8fc9ff97f0ad1cd2bbcfa3ced514e, 2019-07-30 21:11:36 -0700, Tongzhou Wang, 119, 47, 166, LINK)"
21081,1,208,83,291,"(8482efb2036475072f26c07e4d7d91e14e5e2c20, 2019-07-16 10:05:53 -0700, SsnL, 208, 83, 291, LINK)"
2110,2,45,41,86,"(bebc3d6aad8cd4b3ff3ccbaf5d8141bc10916df7, 2019-09-17 06:43:15 -0700, Lu Fang, 2, 1, 3, LINK), (fdfe1d09a09b31a1b4bc1282aa182f7c72bdd553, 2018-03-02 16:29:13 -0800, Yangqing Jia, 43, 40, 83, LINK)"
21108,1,40,4,44,"(51ebbe970ada230586aae0677814b4b66f5b00f6, 2019-06-01 10:29:26 -0700, Shen Li, 40, 4, 44, LINK)"
2115,3,52,17,69,"(9e18234109778fc5ab6f03fc00164d3468102e01, 2019-06-28 22:11:01 -0700, Lu Fang, 1, 1, 2, LINK), (9f2a35ee8b8036d9ac8663b88bc74babd8bba57d, 2018-03-05 20:03:43 -0800, Dmytro Dzhulgakov, 2, 4, 6, LINK), (d013e16cf47a61b7cd139b02afb2c14975469c0b, 2018-03-02 18:06:19 -0800, Qinqing Zheng, 49, 12, 61, LINK)"
21167,1,10,7,17,"(be7fc40621719fd881378756ee1945351bd14a99, 2019-06-01 09:44:17 -0700, peter, 10, 7, 17, LINK)"
2117,1,11,1,12,"(818171163701eda56498c3e078d3bef682369fa7, 2020-05-08 21:42:58 -0700, Lu Fang, 11, 1, 12, LINK)"
2119,2,328,596,924,"(7863c17b26c87e8b32fa1c9f6f4c5bbcd2645fe8, 2018-10-24 09:20:13 -0700, Richard Zou, 7, 1, 8, LINK), (558e2a92df05c2e32459bbcbef6b0d46cf84cded, 2018-03-02 16:07:45 -0800, Xiaomeng Yang, 321, 595, 916, LINK)"
2122,2,9,5,14,"(b93f0947a89b97a14b43c7b4ab79cf7a7163756d, 2019-09-24 17:12:27 -0700, Lu Fang, 1, 1, 2, LINK), (eededd3f976adaf19d56b8aa5fe9a36b712b5751, 2018-03-07 11:32:39 -0800, kevinbchen, 8, 4, 12, LINK)"
2124,1,11,14,25,"(e026cb18548e374b12ae844b575a39ee543e6285, 2018-03-03 01:48:57 +0100, Marat Dukhan, 11, 14, 25, LINK)"
21251,1,119,48,167,"(d48cbd62cd822740d9b4f48a243de84f75fdfbc1, 2019-07-07 19:05:20 -0700, SsnL, 119, 48, 167, LINK)"
21257,2,101,30,131,"(9737b166a4788ff57c24c1e59651453dc701d161, 2019-06-11 15:09:19 -0700, vishwakftw, 51, 15, 66, LINK), (bb1dbdb99bb56c49a585c496efe12c6d5115d04f, 2019-06-10 12:01:14 -0700, vishwakftw, 50, 15, 65, LINK)"
2126,1,6,1,7,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK)"
21261,1,1,0,1,"(2e59a0a646883f6b20f2e0d0af9c795e629bc115, 2019-06-03 10:11:09 -0700, shihongzhi, 1, 0, 1, LINK)"
21269,1,1,7,8,"(ee15ad1bd614186ce48b776f9bda570a758e20da, 2019-06-06 09:58:49 -0700, Mads R. B. Kristensen, 1, 7, 8, LINK)"
2127,1,6,1,7,"(d6ee58494f816b9784a974c9d5a5c95376a3a55b, 2019-09-24 05:36:12 -0700, Lu Fang, 6, 1, 7, LINK)"
21271,1,97,0,97,"(76e01542ed1ff9892a766efad4bddcc061b9dbab, 2019-06-12 10:56:27 -0700, daquexian, 97, 0, 97, LINK)"
2132,1,1,1,2,"(5c769bd243510e54e757819a0cc9a35e40517ce0, 2018-03-05 15:27:59 -0800, bddppq, 1, 1, 2, LINK)"
2133,1,6,1,7,"(d6ee58494f816b9784a974c9d5a5c95376a3a55b, 2019-09-24 05:36:12 -0700, Lu Fang, 6, 1, 7, LINK)"
2138,1,1,1,2,"(9e18234109778fc5ab6f03fc00164d3468102e01, 2019-06-28 22:11:01 -0700, Lu Fang, 1, 1, 2, LINK)"
2141,2,56,9,65,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK), (685ae4813ef634c20bb8892444faf9de1e80eb2c, 2017-07-18 09:08:23 -0700, Edward Z. Yang, 50, 8, 58, LINK)"
21418,1,26,6,32,"(6b9f46b2d0eca208386886c9cc9c76ed351533fb, 2019-06-05 15:13:57 -0700, Edward Yang, 26, 6, 32, LINK)"
21469,1,36,0,36,"(0998a32588a51f204d9b325ec265312420c73070, 2019-06-18 09:10:57 -0700, Igor Fedan, 36, 0, 36, LINK)"
2147,1,2,1,3,"(796a39ba85e6cb14d1fd3a6e7c6322e0b7e28ec2, 2019-07-17 13:57:18 -0700, Lu Fang, 2, 1, 3, LINK)"
21478,1,35,10,45,"(fddf73250d64580c330be50ec38cacddb4b2fa49, 2020-02-26 18:28:47 -0800, Elias Ellison, 35, 10, 45, LINK)"
2149,1,153,57,210,"(0c6e843028673eedce1c809bc36cdc1a8e8664b5, 2018-03-07 12:34:11 -0800, ilia-cher, 153, 57, 210, LINK)"
2150,1,1,1,2,"(58a3e4f71f17794c21386ab085bc0176899e21a0, 2019-07-25 18:22:44 -0700, Lu Fang, 1, 1, 2, LINK)"
21508,2,101,30,131,"(9737b166a4788ff57c24c1e59651453dc701d161, 2019-06-11 15:09:19 -0700, vishwakftw, 51, 15, 66, LINK), (bb1dbdb99bb56c49a585c496efe12c6d5115d04f, 2019-06-10 12:01:14 -0700, vishwakftw, 50, 15, 65, LINK)"
21526,1,11,1,12,"(74828be4a7d0d2dba3f0ec3f6e79265cdfae5329, 2019-06-08 08:36:25 -0700, Brennan Vincent, 11, 1, 12, LINK)"
2154,1,77,76,153,"(7d141d4243956fc200fa9f27c446926b1dfa3df2, 2018-03-06 01:23:54 -0800, Dmytro Dzhulgakov, 77, 76, 153, LINK)"
21545,1,44,0,44,"(902c1f9ef1c3fd4e8a7d2880b4bb44d83a75d740, 2019-11-14 18:26:24 -0800, Elias Ellison, 44, 0, 44, LINK)"
2155,1,1,1,2,"(58a3e4f71f17794c21386ab085bc0176899e21a0, 2019-07-25 18:22:44 -0700, Lu Fang, 1, 1, 2, LINK)"
2156,2,15,27,42,"(71ce3448d959ed97f77460d200dbdbdecd28cf12, 2017-07-20 16:38:36 -0700, Sam Gross, 1, 0, 1, LINK), (2efac3ed83a29f57f914e9044fdddd2ce7ecd6b7, 2017-07-20 16:38:36 -0700, Sam Gross, 14, 27, 41, LINK)"
21584,1,0,3,3,"(5f25a252d6847db951aecbeb0000c53821fb7b63, 2019-06-10 13:24:54 -0700, Sebastian Messmer, 0, 3, 3, LINK)"
21589,1,14,4,18,"(cf5c3bb3fe4c61943bc352005db03cb249acfba0, 2019-06-11 15:24:23 -0700, Natalia Gimelshein, 14, 4, 18, LINK)"
21596,1,557,124,681,"(a347c747df8302acc0007a26f23ecf3355a5bef9, 2021-01-25 16:31:30 -0800, Fritz Obermeyer, 557, 124, 681, LINK)"
21597,2,2,2,4,"(c3c0dcf6e35efdb843587a03522c37a7d1184539, 2019-10-12 02:39:09 -0700, Gu Jinghui, 1, 1, 2, LINK), (7f057f00cc1112dc5c68d2fa65f215ca058ab4f4, 2019-06-17 18:18:02 -0700, Gu Jinghui, 1, 1, 2, LINK)"
21644,1,56,15,71,"(2d5ce519f2175e7194be364f864750681c5866aa, 2019-06-14 07:30:29 -0700, Michael Carilli, 56, 15, 71, LINK)"
2166,1,7,7,14,"(632f8b5be7fcf572b335abf16ff6fe10a6638585, 2018-03-09 07:41:59 -0800, Jongsoo Park, 7, 7, 14, LINK)"
2167,2,140,2,142,"(58a3e4f71f17794c21386ab085bc0176899e21a0, 2019-07-25 18:22:44 -0700, Lu Fang, 1, 1, 2, LINK), (64b33672af33ef6b8b84fddd6e08e37898319d8e, 2018-03-09 07:42:17 -0800, Jongsoo Park, 139, 1, 140, LINK)"
21680,1,3,1,4,"(0c091380cc03b23e68dde7368f3b910c21deb010, 2019-07-18 08:21:45 -0700, Brian Vaughan, 3, 1, 4, LINK)"
21703,1,79,107,186,"(03f67e4b162f1d92808397d772214c44c8597475, 2019-08-30 13:38:43 -0700, Hong Xu, 79, 107, 186, LINK)"
21706,1,1,1,2,"(95b57180078d9decf47180cdf963b1341fe74614, 2019-06-26 07:25:19 -0700, peter, 1, 1, 2, LINK)"
21710,1,19,3,22,"(1c5fe2e8c4105ffd1672c828d4b67b29802d6594, 2019-06-21 14:14:34 -0700, davidriazati, 19, 3, 22, LINK)"
2172,1,1,1,2,"(58a3e4f71f17794c21386ab085bc0176899e21a0, 2019-07-25 18:22:44 -0700, Lu Fang, 1, 1, 2, LINK)"
21737,1,69,30,99,"(deba3bd1d009e6be474d144e3495e6afc0e58788, 2021-01-13 07:54:43 -0800, Gemfield, 69, 30, 99, LINK)"
21761,1,4,0,4,"(5d67c606ea7d0d4da7005d00570c8eb18333e058, 2019-06-19 21:26:23 -0700, Horace He, 4, 0, 4, LINK)"
2177,1,6,1,7,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK)"
2178,1,695,192,887,"(60aa8c793dfeec46bea211c2fbb167c7218197bf, 2018-03-07 16:41:22 -0800, Alexander Sidorov, 695, 192, 887, LINK)"
21821,1,82,16,98,"(a51f047c7e54d8e96837706428d322e3099ac109, 2020-04-28 11:22:21 -0700, Peter Bell, 82, 16, 98, LINK)"
21857,1,37,11,48,"(2347a4032b160aaddfb8ba526a7e50af778d3cf8, 2019-06-24 12:02:45 -0700, Nikolay Korovaiko, 37, 11, 48, LINK)"
2186,2,332,16,348,"(58a3e4f71f17794c21386ab085bc0176899e21a0, 2019-07-25 18:22:44 -0700, Lu Fang, 1, 1, 2, LINK), (27cb06ae22382e97c2ccc2cb2dd37e60e215cd71, 2018-03-09 09:00:21 -0800, Jerry Zhang, 331, 15, 346, LINK)"
2188,1,6,1,7,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK)"
21922,1,11,0,11,"(c9f41e9bc0c8296daede62ee936b9b7e32a8b658, 2019-07-03 01:58:41 -0700, Pieter Noordhuis, 11, 0, 11, LINK)"
21935,1,45,53,98,"(5adba33c01f460f52ac7eeb1124efb0e48f36ca8, 2019-07-17 13:19:06 -0700, Jan Schlüter, 45, 53, 98, LINK)"
21965,1,24,0,24,"(135bbc261d55c4ffbbb341af47a9c69215d3f1f0, 2019-09-12 15:51:27 -0700, Vincent Quenneville-Belair, 24, 0, 24, LINK)"
220,1,17,15,32,"(75497d624ed88e4d013591415ae0790eeb1f7f98, 2017-09-13 12:07:04 -0700, houseroad, 17, 15, 32, LINK)"
2201,1,425,0,425,"(f4b1e8b3346184bd17de03246dc7bd07bcf25af9, 2018-03-08 13:41:32 -0800, Jiyan Yang, 425, 0, 425, LINK)"
22032,1,28,36,64,"(2372e7ed2e7e104b5ad98da74fa7ac3424883c4b, 2019-06-24 15:20:16 -0700, Stefan Krah, 28, 36, 64, LINK)"
22053,1,1,1,2,"(273b6c5bae35196d0da279bb2775ebf2aa13b951, 2019-06-24 15:19:48 -0700, Hong Xu, 1, 1, 2, LINK)"
22066,1,25,14,39,"(83768f0756ed4c142db642923f9c7866ccd7db52, 2019-06-27 14:59:52 -0700, Spandan Tiwari, 25, 14, 39, LINK)"
22072,1,13,5,18,"(f5df0c9104b0c663db53be50981dd8119707517d, 2019-06-24 20:36:14 -0700, Thomas Viehmann, 13, 5, 18, LINK)"
22087,1,7,7,14,"(ac39869370be187046246c7202d37eb958fbd23c, 2019-06-27 13:48:20 -0700, Horace He, 7, 7, 14, LINK)"
2209,2,395,395,790,"(f93e820e7df9c8ee93a05cbca887f218ed948f12, 2018-03-27 01:15:52 -0700, Jason Gauci, 1, 394, 395, LINK), (6740126f5cc89a291cdcbba96d7dad2ad54b3fe2, 2018-03-27 00:19:17 -0700, harouwu, 394, 1, 395, LINK)"
2210,1,11,2,13,"(60299e03cfe86460736be75b552e4545ea4e5f7b, 2018-03-09 10:58:22 -0800, James Reed, 11, 2, 13, LINK)"
22107,2,837,183,1020,"(28b1f586f669c6c14d5eabffa162b59f0f4d853d, 2019-10-04 08:51:03 -0700, Vincent Quenneville-Belair, 401, 92, 493, LINK), (939ae80de14deb87ae2fd5f90f32e5d504689bbb, 2019-09-13 07:31:35 -0700, Vincent Quenneville-Belair, 436, 91, 527, LINK)"
22109,1,0,4,4,"(cd11109c2eedbe58ada092b1b8fc274006385c43, 2019-07-16 14:06:20 -0700, Horace He, 0, 4, 4, LINK)"
22124,1,28,12,40,"(f3f83ccb2370b12150797e85b70435306e7002a6, 2019-09-03 11:09:52 -0700, Horace He, 28, 12, 40, LINK)"
2213,1,1,1,2,"(359d54ea9790439577e2d6de1352edaabcf0fbe2, 2018-03-08 22:45:39 -0500, Marat Dukhan, 1, 1, 2, LINK)"
22158,4,161,2,163,"(81938ed80332609e44ba14f376f1b9048f0977a7, 2019-12-26 07:30:41 -0800, Gregory Chanan, 53, 0, 53, LINK), (29f345831e5a5eee388842d99e5065540baa878f, 2019-12-26 07:25:17 -0800, Gregory Chanan, 53, 0, 53, LINK), (ff9d072679d2e9e92261d4f881c0d44b62569148, 2019-12-23 11:55:28 -0800, Gregory Chanan, 4, 2, 6, LINK), (59a1195e93343f65e25daf56d214bd4483bacbd7, 2019-12-19 10:28:59 -0800, Gregory Chanan, 51, 0, 51, LINK)"
22192,1,64,10,74,"(29ec4769bbcf545e8727184b413f3b4b6a002b44, 2019-07-03 17:05:44 -0700, Shuaipeng Li, 64, 10, 74, LINK)"
222,1,126,111,237,"(6855d24ff1071259e1c76e9387d6c1fb4bd21734, 2017-09-13 22:41:54 -0700, houseroad, 126, 111, 237, LINK)"
2220,1,6,1,7,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK)"
22200,1,1,29,30,"(b9ede6600e26b5a2b549737a4b343afb7f8b3c48, 2019-07-02 00:03:06 -0700, Hong Xu, 1, 29, 30, LINK)"
2222,1,58,18,76,"(1df99e541c1c0380d4bef796bc56d1aa31fb4f78, 2018-03-11 15:44:14 -0700, Paul Jesse Hellemn, 58, 18, 76, LINK)"
22301,1,264,198,462,"(f99bc714c7bacf9a74c85514ef70b677415d4f0c, 2019-09-26 16:03:43 -0700, Igor Fedan, 264, 198, 462, LINK)"
2231,1,6,1,7,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK)"
22353,1,46,23,69,"(c33adf539c82fe26ed678a2aea4427fbbcbd7c97, 2019-08-22 11:33:53 -0700, Igor Fedan, 46, 23, 69, LINK)"
2236,1,2,0,2,"(5fc122bf3973504e619cd677ad4a7fc1011642cd, 2017-10-24 23:54:28 +0200, Mike Garmulewicz, 2, 0, 2, LINK)"
22389,1,2,1,3,"(818828e8a86a90c9f3fe23c7c1fba93ac81c87c8, 2019-07-19 13:26:29 -0700, Orion Reblitz-Richardson, 2, 1, 3, LINK)"
2243,1,16,21,37,"(8a9925f03f8871abcfec14e12c2e2ee83029e6df, 2018-03-14 10:17:32 -0700, Lu Fang, 16, 21, 37, LINK)"
22430,1,68,61,129,"(200cb836f1e31c877e9ac165c326927fa42a28fa, 2019-07-24 10:21:43 -0700, Iurii Zdebskyi, 68, 61, 129, LINK)"
22431,1,68,61,129,"(200cb836f1e31c877e9ac165c326927fa42a28fa, 2019-07-24 10:21:43 -0700, Iurii Zdebskyi, 68, 61, 129, LINK)"
2244,1,6,1,7,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK)"
22483,1,74,21,95,"(d43480d6d16f1a9009ac0d39d394e61c5e831d27, 2019-09-25 15:39:06 -0700, Elias Ellison, 74, 21, 95, LINK)"
22489,1,9,6,15,"(94bd5ddf7f3ff8b129fc193fe46ac5e09fb2df2b, 2019-07-06 19:25:55 -0700, peter, 9, 6, 15, LINK)"
2249,1,2,1,3,"(bebc3d6aad8cd4b3ff3ccbaf5d8141bc10916df7, 2019-09-17 06:43:15 -0700, Lu Fang, 2, 1, 3, LINK)"
22496,2,150,15,165,"(8746f90cf6ce2f3e4c4eb29640b53fc311fff2eb, 2020-01-16 14:14:04 -0800, Xiang Gao, 78, 6, 84, LINK), (0b0f90f53c9e2a032ce98ace8256a5fd58ceeb3f, 2019-12-20 21:25:21 -0800, Xiang Gao, 72, 9, 81, LINK)"
2250,1,501,172,673,"(edd138ba00b649ef03bf53c2ede08215c37a33f0, 2018-03-13 13:20:26 -0700, Qinqing Zheng, 501, 172, 673, LINK)"
22507,1,24,32,56,"(ce8c9d9bd5fa78392d5fb7028ef7f69d0c7a71dd, 2019-07-08 07:03:20 -0700, peter, 24, 32, 56, LINK)"
2251,1,1,1,2,"(dd921f65ba286bc7c62b03a4f23d20bbd197be6b, 2018-03-13 18:07:07 -0700, Yangqing Jia, 1, 1, 2, LINK)"
22526,1,29,8,37,"(1b1e3d565c11b302b090735e6c4970ab7d9e17ab, 2019-10-31 00:58:10 -0700, Jie, 29, 8, 37, LINK)"
22529,1,58,48,106,"(9bafe5d4da28fe127e95de924e34a4a44a0ba1d9, 2019-07-08 08:18:36 -0700, vishwakftw, 58, 48, 106, LINK)"
22534,1,20,0,20,"(4f62cbe7de8f867809ca601c996dd48a5a28ffca, 2020-03-09 22:22:36 -0700, Colin Jermain, 20, 0, 20, LINK)"
22538,1,12,10,22,"(927fb56ee0307422bb9a49daff63f93b998d083b, 2019-08-19 13:42:05 -0700, Yuxin Wu, 12, 10, 22, LINK)"
22553,1,1,3,4,"(ba38445cfd3581934f870fd3b9c49ed3261d8de5, 2019-07-16 10:12:53 -0700, davidriazati, 1, 3, 4, LINK)"
2257,1,6,1,7,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK)"
22570,1,4,2,6,"(d4464d3418cd02a09ac75f60b9661b6671e60b11, 2019-07-07 20:52:06 -0700, peter, 4, 2, 6, LINK)"
22581,1,36,17,53,"(f8ad65adb1b6e4d34b3e6544f9cfc4e2a8c24992, 2019-07-16 09:52:48 -0700, vishwakftw, 36, 17, 53, LINK)"
2261,2,8,3,11,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK), (5022b32b62df1a2dfb8c65d894ac59ed345275e7, 2018-03-14 09:49:49 -0700, Yinghai Lu, 2, 2, 4, LINK)"
22615,1,16,2,18,"(30bc65271de884345e2d6fcf0622ff37c151631a, 2019-08-26 05:05:26 -0700, Pavel Belevich, 16, 2, 18, LINK)"
22681,1,8,0,8,"(c36552c4cbc8fd9c9346d213b11654c126615d5d, 2019-10-17 09:10:54 -0700, Ryan J. Evans, 8, 0, 8, LINK)"
2271,1,6,1,7,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK)"
22710,1,26,4,30,"(236149edc500830fb23a0e8a24adc051544e78fb, 2019-07-29 11:54:56 -0700, Hong Xu, 26, 4, 30, LINK)"
22745,1,57,19,76,"(8aa09de19e125f3ea165e0030dccc86c21583c69, 2020-02-26 12:48:06 -0800, Wojciech Baranowski, 57, 19, 76, LINK)"
22753,1,12,0,12,"(520982d1df0cf62b464fa4bf5a3ae58327d96d4d, 2019-08-05 07:27:43 -0700, Xiang Gao, 12, 0, 12, LINK)"
22809,1,30,0,30,"(f2f3e8ad8c7c99503138c5f1e41036610e147d75, 2019-07-19 14:08:11 -0700, Elias Ellison, 30, 0, 30, LINK)"
2281,1,6,1,7,"(7e4ac8b851b9a4fa50addaf959842130d4920d7c, 2019-09-12 11:39:26 -0700, Lu Fang, 6, 1, 7, LINK)"
